active,age,associationId,backhandStyle,birthCity,birthDate,careerPrizeMoney,coach,doublesCareerLosses,doublesCareerTitles,doublesCareerWins,doublesHighestRank,doublesHighestRankDate,doublesLossesYearToDate,doublesRank,doublesTitlesYearToDate,doublesWinsYearToDate,firstName,handedness,heightCm,heightFt,id,lastName,nationality,natlId,playerHeadshotUrl,residence,singlesCareerLosses,singlesCareerTitles,singlesCareerWins,singlesHighestRank,singlesHighestRankDate,singlesLossesYearToDate,singlesRank,singlesTitlesYearToDate,singlesWinsYearToDate,weightKg,weightLb,yearToDatePrizeMoney,yearTurnedPro
True,0,0171,,,,0,,0,0,0,0,,0,0,0,0,Q/LL,,,,bac48e87-06fd-4128-86f4-6a72204bbed5,Qualifier/Lucky Loser,,,https://www.atptour.com/-/media/alias/player-headshot/0171,,0,0,0,0,,0,0,0,0,,,0,0
True,0,0172,,,,0,,0,0,0,0,,0,0,0,0,Q,,,,8f5d33a8-2f7c-4682-9618-deffc90bc2c0,Qualifier,,,https://www.atptour.com/-/media/alias/player-headshot/0172,,0,0,0,0,,0,0,0,0,,,0,0
True,0,0173,,,,0,,0,0,0,0,,0,0,0,0,SE,,,,34ddc41b-8582-4e90-8beb-d2a00fac426e,Special Exempt,,,https://www.atptour.com/-/media/alias/player-headshot/0173,,0,0,0,0,,0,0,0,0,,,0,0
True,0,0174,,,,0,,0,0,0,0,,0,0,0,0,Q/LL/S,,,,21c9b99d-4626-4987-94a6-25f532a2b5fd,Qualifier/Lucky Loser/Special,,,https://www.atptour.com/-/media/alias/player-headshot/0174,,0,0,0,0,,0,0,0,0,,,0,0
True,0,0175,,,,0,,0,0,0,0,,0,0,0,0,Q/SE,,,,bcc21b12-c8ac-4bfd-bbc7-bc0b2c22ce9e,Qualifier/Special Exempt,,,https://www.atptour.com/-/media/alias/player-headshot/0175,,0,0,0,0,,0,0,0,0,,,0,0
True,0,0176,,,,0,,0,0,0,0,,0,0,0,0,,,,,9a312eea-d95d-4401-9e9e-a11f933e2c75,Bye,,,https://www.atptour.com/-/media/alias/player-headshot/0176,,0,0,0,0,,0,0,0,0,,,0,0
True,25,A09P,two-handed,Walnut Creek ,1999-08-10T00:00:00.000Z,97277,F. Stove,0,0,0,598,2019-07-15T00:00:00.000Z,0,640,0,0,Alafia,right,191.0,"6'3""",ca010a1d-0620-484a-bf05-1422fc63aaf4,Ayeni,United States,USA,https://www.atptour.com/-/media/alias/player-headshot/A09P,,0,0,0,395,2023-06-12T00:00:00.000Z,0,578,0,0,84.0,185.0,7725,0
True,25,A09Q,,,2000-06-14T00:00:00.000Z,24756,,0,0,0,770,2024-11-25T00:00:00.000Z,0,987,0,0,Mert,,,,9a15a0ed-02c2-44cc-94ce-d74a4f140b7c,Alkaya,Turkiye,TUR,https://www.atptour.com/-/media/alias/player-headshot/A09Q,,0,0,0,710,2025-06-09T00:00:00.000Z,0,713,0,0,,,6069,0
True,24,A09R,,,2000-07-10T00:00:00.000Z,19391,,1,0,0,613,2021-11-15T00:00:00.000Z,0,2099,0,0,Umut,,,,544add13-cb38-427e-8af5-e8cd3ec3f3eb,Akkoyun,Turkiye,TUR,https://www.atptour.com/-/media/alias/player-headshot/A09R,,0,0,0,1862,2023-04-03T00:00:00.000Z,0,0,0,0,,,161,0
True,26,A09T,two-handed,"Strasbourg, France",1999-04-13T00:00:00.000Z,345907,,8,0,5,77,2023-09-25T00:00:00.000Z,0,184,0,0,Dan,right,183.0,"6'0""",2c904221-da66-408c-aaa3-a02202f7d5bf,Added,France,FRA,https://www.atptour.com/-/media/alias/player-headshot/A09T,,0,0,0,240,2023-06-12T00:00:00.000Z,0,344,0,0,75.0,165.0,26532,0
True,24,A09U,two-handed,Burgos,2001-05-18T00:00:00.000Z,166577,Cristiano de Oliveira Pinto,0,0,0,284,2023-04-10T00:00:00.000Z,0,553,0,0,Nicolas,right,188.0,"6'2""",d4c735fa-58ea-4f4c-a3b4-6550eb1ea299,Alvarez Varona,Spain,ESP,https://www.atptour.com/-/media/alias/player-headshot/A09U,,2,0,1,219,2022-10-17T00:00:00.000Z,0,305,0,0,83.0,182.0,20538,0
True,26,A09W,two-handed,"London, UK",1998-11-20T00:00:00.000Z,78832,"Vincent Millot, Lan Bale",1,0,0,219,2025-06-09T00:00:00.000Z,0,225,0,0,Juan Carlos,right,168.0,"5'6""",1a2c1620-ef39-464b-995f-2b48e4e1ed64,Aguilar,Canada,CAN,https://www.atptour.com/-/media/alias/player-headshot/A09W,,0,0,1,426,2025-05-26T00:00:00.000Z,0,426,0,0,64.0,140.0,16797,0
True,24,A0AB,two-handed,"Sofia, Bulgaria",2001-05-12T00:00:00.000Z,468659,,3,0,0,584,2022-09-12T00:00:00.000Z,0,1422,0,0,Adrian,right,175.0,"5'9""",315ab421-116d-4103-ae25-89459fb3a744,Andreev,Bulgaria,BUL,https://www.atptour.com/-/media/alias/player-headshot/A0AB,,7,0,3,183,2023-09-18T00:00:00.000Z,0,329,0,1,73.0,160.0,35416,2016
True,26,A0AN,two-handed,"San Francisco, CA, USA",1998-07-30T00:00:00.000Z,41502,,0,0,0,530,2024-01-29T00:00:00.000Z,0,1249,0,0,Cengiz,right,183.0,"6'0""",8e8d31be-fb33-4972-8ed0-1e8882e87863,Aksu,Turkiye,TUR,https://www.atptour.com/-/media/alias/player-headshot/A0AN,,0,0,0,755,2024-12-02T00:00:00.000Z,0,1085,0,0,76.0,167.0,0,0
True,26,A0AV,two-handed,"Moscow, Russia",1998-12-28T00:00:00.000Z,9640,,0,0,0,1583,2024-12-09T00:00:00.000Z,0,1604,0,0,Alexey,right,185.0,"6'1""",9b713c02-83c2-44c4-802a-c683640c703a,Aleshchev,Russia,RUS,https://www.atptour.com/-/media/alias/player-headshot/A0AV,,0,0,0,1554,2018-04-30T00:00:00.000Z,0,1768,0,0,80.0,176.0,720,0
True,25,A0B6,two-handed,Clichy,2000-03-27T00:00:00.000Z,69503,,0,0,0,807,2020-03-02T00:00:00.000Z,0,0,0,0,Jaimee Floyd,right,206.0,"6'9""",8f690c53-20dd-4d88-a525-6e965469e9be,Angele,France,FRA,https://www.atptour.com/-/media/alias/player-headshot/A0B6,,0,0,0,463,2022-08-29T00:00:00.000Z,0,0,0,0,93.0,206.0,0,0
True,24,A0BA,two-handed,Como,2000-06-18T00:00:00.000Z,254965,Andrea Arnaboldi,1,0,0,399,2023-04-24T00:00:00.000Z,0,1084,0,0,Federico,right,185.0,"6'1""",5177adc4-dc48-45e5-830f-2d1d3fd85137,Arnaboldi,Italy,ITA,https://www.atptour.com/-/media/alias/player-headshot/A0BA,,0,0,0,183,2025-06-09T00:00:00.000Z,0,185,0,0,78.0,173.0,124548,0
True,23,A0C4,two-handed,,2002-03-23T00:00:00.000Z,6304,,0,0,0,1588,2023-02-20T00:00:00.000Z,0,2570,0,0,Bader,right,,,f848335a-3ab9-4ce1-90d4-1b1eb588cc3f,Alabdullah,Kuwait,KUW,https://www.atptour.com/-/media/alias/player-headshot/A0C4,,0,0,0,1550,2022-08-15T00:00:00.000Z,0,0,0,0,,,528,0
